Card URL,Raw Price,PSA 8 Price,PSA 9 Price,PSA 10 Price,Expected Profit
https://www.pricecharting.com/game/pokemon-temporal-forces/metagross-178,9.11,32.0,39.0,84.0,81.35
https://www.pricecharting.com/game/pokemon-temporal-forces/gastly-177,21.74,17.75,40.0,132.5,32.83
https://www.pricecharting.com/game/pokemon-temporal-forces/deerling-165,5.99,8.5,24.0,64.57,-55.15
https://www.pricecharting.com/game/pokemon-temporal-forces/gengar-ex-193,10.62,15.5,40.0,54.95,-61.38
https://www.pricecharting.com/game/pokemon-temporal-forces/litten-167,6.18,15.0,19.0,52.0,-79.75
https://www.pricecharting.com/game/pokemon-temporal-forces/arbok-176,7.36,14.95,18.0,51.0,-96.82
https://www.pricecharting.com/game/pokemon-temporal-forces/chatot-181,3.4,7.5,19.0,43.71,-98.59
https://www.pricecharting.com/game/pokemon-temporal-forces/snom-168,3.26,13.48,17.0,36.03,-101.54
https://www.pricecharting.com/game/pokemon-temporal-forces/sawsbuck-166,8.08,14.99,17.0,52.25,-103.25
https://www.pricecharting.com/game/pokemon-temporal-forces/scizor-ex-195,3.95,13.2,19.99,34.6,-105.42
https://www.pricecharting.com/game/pokemon-temporal-forces/shiftry-163,4.17,10.5,15.0,40.0,-115.75
https://www.pricecharting.com/game/pokemon-temporal-forces/master-ball-153,2.43,14.0,17.0,26.42,-115.98
https://www.pricecharting.com/game/pokemon-temporal-forces/torterra-ex-185,2.88,10.0,16.0,33.86,-117.66
https://www.pricecharting.com/game/pokemon-temporal-forces/bianca%27s-devotion-197,2.65,10.0,13.0,34.47,-121.45
https://www.pricecharting.com/game/pokemon-temporal-forces/raging-bolt-ex-196,5.95,20.0,23.0,23.77,-122.24
https://www.pricecharting.com/game/pokemon-temporal-forces/meltan-179,2.75,10.25,13.0,33.2,-124.84
https://www.pricecharting.com/game/pokemon-temporal-forces/maximum-belt-154,2.97,9.0,11.0,19.99,-170.08
https://www.pricecharting.com/game/pokemon-temporal-forces/minccino-182,5.0,4.25,16.0,28.99,-170.83
https://www.pricecharting.com/game/pokemon-temporal-forces/awakening-drum-141,1.83,8.5,10.0,16.59,-171.6
https://www.pricecharting.com/game/pokemon-temporal-forces/neo-upper-energy-162,2.49,8.5,10.0,17.0,-177.15
https://www.pricecharting.com/game/pokemon-temporal-forces/cinccino-183,8.0,6.67,12.0,31.08,-197.47
https://www.pricecharting.com/game/pokemon-temporal-forces/hero%27s-cape-152,4.99,6.36,9.99,13.25,-219.01
https://www.pricecharting.com/game/pokemon-temporal-forces/prime-catcher-157,17.5,8.5,17.51,17.61,-306.54
